Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Paraguay,Americas,715569,10032.46,407,5.706,0,19494,273.311,16,0.224,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,702591,13772.476,259,5.077,0,5706,111.851,2,0.039,0
Bahrain,Eastern Mediterranean,672859,39543.305,1375,80.807,223,1515,89.035,0,0,0
Sri Lanka,South-East Asia,670251,3130.076,294,1.373,0,16716,78.064,18,0.084,0
Kuwait,Eastern Mediterranean,657745,15401.805,187,4.379,0,2563,60.015,0,0,0
Dominican Republic,Americas,640064,5900.344,1348,12.426,0,4384,40.413,0,0,0
Myanmar,South-East Asia,615800,1131.781,579,1.064,0,19442,35.733,4,0.007,0
Estonia,Europe,598636,45044.907,664,49.963,0,2657,199.928,6,0.451,0
Republic of Moldova,Europe,579110,14355.858,4058,100.596,0,11783,292.095,28,0.694,0
Cyprus,Europe,578030,65093.102,1752,197.296,0,1172,131.981,4,0.45,0
Venezuela (Bolivarian Republic of),Americas,543025,1909.643,744,2.616,73,5802,20.404,6,0.021,1
Egypt,Eastern Mediterranean,515335,503.579,27,0.026,0,24796,24.23,2,0.002,0
Libya,Eastern Mediterranean,506864,7376.546,89,1.295,4,6437,93.68,0,0,0
Ethiopia,Africa,493278,429.073,98,0.085,6,7572,6.586,0,0,0
Réunion,Africa,467390,52204.148,7014,783.414,0,874,97.62,13,1.452,0
Honduras,Americas,454779,4591.591,786,7.936,0,10989,110.948,16,0.162,0
Armenia,Europe,436727,14738.188,2329,78.597,0,8662,292.316,7,0.236,0
Qatar,Eastern Mediterranean,432846,15023.882,4055,140.747,644,681,23.637,0,0,0
Oman,Eastern Mediterranean,397993,7793.659,147,2.879,0,4628,90.627,0,0,0
Bosnia and Herzegovina,Europe,396696,12091.386,1066,32.492,172,16083,490.214,34,1.036,9
North Macedonia,Europe,341127,16373.729,1009,48.431,179,9499,455.942,12,0.576,0
Kenya,Africa,338243,629.04,73,0.136,6,5674,10.552,0,0,0
Zambia,Africa,332822,1810.394,0,0,0,4016,21.845,0,0,0
Albania,Europe,329137,11437.105,1266,43.992,62,3584,124.54,2,0.069,1
Botswana,Africa,325911,13858.958,0,0,0,2778,118.131,0,0,0
Luxembourg,Europe,287561,45928.338,701,111.962,153,1123,179.362,0,0,0
Montenegro,Europe,276629,44044.855,1296,206.349,182,2778,442.313,6,0.955,0
Kosovo[1],Europe,271736,15132.881,494,27.511,29,3189,177.594,5,0.278,0
Algeria,Africa,270476,616.806,204,0.465,15,6879,15.687,1,0.002,0
Nigeria,Africa,264014,128.075,488,0.237,0,3148,1.527,0,0,0
Mauritius,Africa,258301,20310.387,0,0,0,1023,80.439,0,0,0
Zimbabwe,Africa,256825,1727.957,99,0.666,56,5596,37.651,0,0,0
Uzbekistan,Europe,243893,728.709,92,0.275,14,1637,4.891,0,0,0
Mozambique,Africa,230137,736.31,61,0.195,7,2221,7.106,1,0.003,0
Brunei Darussalam,Western Pacific,223059,50987.362,0,0,0,129,29.487,0,0,0
Martinique,Americas,215582,57447.937,0,0,0,1022,272.341,0,0,0
Lao People's Democratic Republic,Western Pacific,214563,2949.093,638,8.769,108,757,10.405,0,0,0
Kyrgyzstan,Europe,205835,3154.951,119,1.824,0,2991,45.845,0,0,0
Iceland,Europe,205009,56300.428,299,82.113,40,213,58.495,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4224,65.123,1,0.015,0
Afghanistan,Eastern Mediterranean,194614,499.929,1364,3.504,181,7783,19.993,6,0.015,0
Guadeloupe,Americas,191997,47984.375,0,0,0,986,246.424,0,0,0
Maldives,South-East Asia,184924,34210.721,68,12.58,0,308,56.98,0,0,0
Trinidad and Tobago,Americas,180008,12862.418,1167,83.388,122,4161,297.323,27,1.929,3
Uganda,Africa,168937,369.334,20,0.044,0,3628,7.932,0,0,0
Ghana,Africa,168580,542.53,0,0,0,1459,4.695,0,0,0
Namibia,Africa,166645,6558.49,0,0,0,4077,160.455,0,0,0
Jamaica,Americas,150307,5075.938,544,18.371,0,3268,110.362,14,0.473,0
Cambodia,Western Pacific,137679,823.49,83,0.496,11,3056,18.279,0,0,0
Rwanda,Africa,132456,1022.651,34,0.263,0,1466,11.319,0,0,0
Cameroon,Africa,121652,458.271,0,0,0,1935,7.289,0,0,0
Malta,Europe,114195,22192.575,145,28.179,23,802,155.86,1,0.194,0
Angola,Africa,102636,312.284,0,0,0,1917,5.833,0,0,0
Barbados,Americas,101510,35323.184,685,238.365,59,544,189.3,5,1.74,0
French Guiana,Americas,93735,31382.875,149,49.886,0,408,136.6,0,0,0
Democratic Republic of the Congo,Africa,92710,103.516,0,0,0,1405,1.569,0,0,0
Senegal,Africa,88153,526.477,55,0.328,0,1968,11.754,0,0,0
Malawi,Africa,87842,459.186,0,0,0,2675,13.983,0,0,0
Côte d’Ivoire,Africa,86840,329.21,145,0.55,16,820,3.109,1,0.004,1
Suriname,Americas,81039,13814.282,17,2.898,0,1383,235.753,0,0,0
French Polynesia,Western Pacific,76520,27240.235,61,21.715,0,649,231.036,0,0,0
New Caledonia,Western Pacific,74125,25963.404,23,8.056,23,314,109.983,0,0,0
Eswatini,Africa,73368,6323.934,7,0.603,0,1422,122.569,0,0,0
Guyana,Americas,71102,9039.707,120,15.256,2,1279,162.608,1,0.127,0
Belize,Americas,68350,17189.433,48,12.072,0,680,171.014,0,0,0
Fiji,Western Pacific,68195,7607.271,42,4.685,0,878,97.942,0,0,0
Madagascar,Africa,66640,240.656,14,0.051,0,1410,5.092,0,0,0
Sudan,Eastern Mediterranean,63270,144.29,18,0.041,0,4961,11.314,0,0,0
Mauritania,Africa,62771,1350.013,9,0.194,0,993,21.356,1,0.022,0
Cabo Verde,Africa,62330,11210.694,10,1.799,0,410,73.743,0,0,0
Bhutan,South-East Asia,61233,7935.765,90,11.664,0,21,2.722,0,0,0
Jersey,Europe,59163,54884.226,273,253.256,273,136,126.164,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57114,326.353,88,0.503,16,3163,18.074,0,0,0
Burundi,Africa,49370,415.195,83,0.698,0,15,0.126,0,0,0
Gabon,Africa,48655,2186.02,0,0,0,306,13.748,0,0,0
Guam,Western Pacific,48456,28710.413,133,78.803,0,390,231.077,1,0.593,0
Seychelles,Africa,46175,46951.102,94,95.58,0,169,171.841,0,0,0
Andorra,Europe,46027,59570.31,0,0,0,154,199.314,0,0,0
Curaçao,Americas,45318,27617.266,16,9.751,16,287,174.901,0,0,0
Papua New Guinea,Western Pacific,44900,501.843,16,0.179,4,664,7.421,0,0,0
Aruba,Americas,42970,40246.895,122,114.269,122,228,213.551,1,0.937,1
Mayotte,Africa,40095,14696.773,91,33.356,0,187,68.545,0,0,0
United Republic of Tanzania,Africa,39168,65.57,217,0.363,0,845,1.415,0,0,0
Togo,Africa,38564,465.821,73,0.882,14,283,3.418,1,0.012,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Guinea,Africa,37652,286.702,0,0,0,449,3.419,0,0,0
Bahamas,Americas,37101,9434.6,32,8.137,0,823,209.285,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34287,1600.514,0,0,0,704,32.863,0,0,0
Haiti,Americas,33551,294.242,0,0,0,841,7.376,0,0,0
Mali,Africa,31781,156.937,416,2.054,117,739,3.649,0,0,0
Guernsey,Europe,30883,47904.387,116,179.934,116,62,96.172,0,0,0
Cayman Islands,Americas,30214,45973.828,0,0,0,29,44.127,0,0,0
Saint Lucia,Americas,28894,15735.159,119,64.805,0,391,212.932,0,0,0
Benin,Africa,27490,226.755,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27020,170.01,0,0,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
Timor-Leste,South-East Asia,23204,1759.952,34,2.579,9,138,10.467,0,0,0
United States Virgin Islands,Americas,22771,21806.081,149,142.686,0,122,116.83,0,0,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
Burkina Faso,Africa,21128,101.075,0,0,0,387,1.851,0,0,0
San Marino,Europe,20438,60221.581,63,185.633,0,118,347.693,0,0,0
Gibraltar,Europe,20069,59567.837,20,59.363,0,108,320.56,1,2.968,0
Grenada,Americas,19403,17243.586,114,101.313,57,236,209.735,0,0,0
Liechtenstein,Europe,19247,49673.523,96,247.761,0,85,219.372,0,0,0
Bermuda,Americas,17913,28765.275,0,0,0,148,237.663,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17780,158.839,0,0,0,138,1.233,0,0,0
Equatorial Guinea,Africa,16867,1202.222,8,0.57,0,183,13.044,0,0,0
Tonga,Western Pacific,16182,15310.09,218,206.254,0,12,11.353,0,0,0
Samoa,Western Pacific,15839,7982.804,0,0,0,29,14.616,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Marshall Islands,Western Pacific,15070,25458.661,56,94.604,0,17,28.719,0,0,0
Nicaragua,Americas,14931,225.389,0,0,0,244,3.683,0,0,0
Central African Republic,Africa,14882,308.131,0,0,0,113,2.34,0,0,0
Dominica,Americas,14852,20630.357,0,0,0,68,94.456,0,0,0
Monaco,Europe,14417,36736.826,38,96.83,5,63,160.534,2,5.096,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13120,22794.795,0,0,0,40,69.496,0,0,0
Gambia,Africa,12311,509.42,0,0,0,371,15.352,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Saint Martin,Americas,11941,30888.021,0,0,0,46,118.989,0,0,0
Yemen,Eastern Mediterranean,11931,40.002,5,0.017,0,2155,7.225,0,0,0
Vanuatu,Western Pacific,11864,3862.671,54,17.581,0,14,4.558,0,0,0
Sint Maarten,Americas,10847,25294.996,11,25.652,11,87,202.882,0,0,0
Eritrea,Africa,10158,286.43,4,0.113,1,103,2.904,0,0,0
Saint Vincent and the Grenadines,Americas,9430,8500.09,2,1.803,0,115,103.66,0,0,0
Niger,Africa,9366,38.692,35,0.145,0,312,1.289,0,0,0
Bonaire,Americas,9362,44762.132,35,167.344,35,31,148.219,0,0,0
Micronesia (Federated States of),Western Pacific,9037,7856.69,1562,1357.989,261,27,23.474,1,0.869,0
Antigua and Barbuda,Americas,8974,9163.782,25,25.529,0,145,148.066,0,0,0
Guinea-Bissau,Africa,8796,446.951,0,0,0,175,8.892,0,0,0
Comoros,Africa,8455,972.285,0,0,0,160,18.399,0,0,0
American Samoa,Western Pacific,8217,14886.679,49,88.773,0,34,61.598,0,0,0
Liberia,Africa,7898,156.159,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7747,97.117,0,0,0,125,1.567,0,0,0
Chad,Africa,7547,45.946,11,0.067,0,193,1.175,0,0,0
British Virgin Islands,Americas,7291,24112.842,0,0,0,64,211.661,0,0,0
Saint Kitts and Nevis,Americas,6524,12265.002,12,22.56,4,46,86.479,0,0,0
Cook Islands,Western Pacific,6379,36318.606,114,649.055,0,1,5.693,0,0,0
Turks and Caicos Islands,Americas,6369,16449.713,0,0,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,6177,2818.502,24,10.951,0,76,34.678,0,0,0
Palau,Western Pacific,5403,29864.028,55,304.002,0,6,33.164,0,0,0
Saint Barthélemy,Americas,5263,53242.286,0,0,0,5,50.582,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3851,25669.911,14,93.321,0,11,73.324,0,0,-1
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,3131,54029.336,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1886,54148.722,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,1194,38037.592,5,159.286,5,5,159.286,0,0,0
Montserrat,Americas,1190,23804.761,64,1280.256,0,8,160.032,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,761,6766.85,0,0,0,7,62.244,0,0,0
Saba,Americas,723,37403.001,9,465.598,9,2,103.466,0,0,0
Niue,Western Pacific,80,4944.376,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,20,169.607,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
